step,day,hour,player,money,hands,hires_today,quadrants,plants,animals,weeds,shed_total
0,0,0,0,3000.0,0,0,1,{},{},0,0
0,0,0,1,3000.0,0,0,1,{},{},0,0
1,0,1,0,396.0,4,4,1,{},{},0,10
1,0,1,1,2467.0,0,0,1,{},{},0,6
2,0,2,0,326.0,6,6,1,{},{},0,9
2,0,2,1,588.0,4,4,1,{},{},0,8
3,0,3,0,268.0,6,6,1,"{""MELON"": 1}",{},0,11
3,0,3,1,617.0,4,4,1,{},{},0,4
4,0,4,0,4.0,6,6,1,"{""MELON"": 1}","{""COW"": 1}",0,20
4,0,4,1,457.0,4,4,1,{},"{""COW"": 1}",0,3
5,0,5,0,4.0,6,6,1,"{""MELON"": 1}","{""COW"": 1}",0,20
5,0,5,1,427.0,4,4,1,{},"{""COW"": 1}",0,1
6,0,6,0,4.0,6,6,1,"{""MELON"": 1}","{""COW"": 1}",0,20
6,0,6,1,237.0,4,4,1,{},"{""SHEEP"": 1, ""COW"": 1}",0,2
7,0,7,0,94.0,6,6,1,"{""MELON"": 1}","{""SHEEP"": 1, ""COW"": 1}",0,16
7,0,7,1,207.0,4,4,1,{},"{""SHEEP"": 2, ""COW"": 1}",0,3
8,0,8,0,213.0,6,6,1,"{""MELON"": 3}","{""SHEEP"": 2, ""COW"": 1}",0,12
8,0,8,1,207.0,4,4,1,{},"{""SHEEP"": 2, ""COW"": 1}",0,3
9,0,9,0,213.0,6,6,1,"{""MELON"": 4}","{""SHEEP"": 2, ""COW"": 2}",0,8
9,0,9,1,207.0,4,4,1,{},"{""COW"": 2, ""SHEEP"": 3}",0,3
10,0,10,0,213.0,6,6,1,"{""MELON"": 6}","{""SHEEP"": 2, ""COW"": 2}",0,8
10,0,10,1,207.0,4,4,1,"{""MELON"": 1}","{""COW"": 2, ""SHEEP"": 3}",0,2
11,0,11,0,24.0,6,6,1,"{""MELON"": 7}","{""SHEEP"": 2, ""COW"": 2}",0,9
11,0,11,1,207.0,4,4,1,"{""MELON"": 3}","{""COW"": 2, ""SHEEP"": 3}",0,2
12,0,12,0,140.0,6,6,1,"{""MELON"": 8}","{""SHEEP"": 2, ""COW"": 2}",0,5
12,0,12,1,47.0,4,4,1,"{""MELON"": 3}","{""COW"": 2, ""SHEEP"": 3}",0,2
13,0,13,0,16.0,6,6,1,"{""MELON"": 8, ""WHEAT"": 3}","{""SHEEP"": 2, ""COW"": 2}",0,1
13,0,13,1,27.0,4,4,1,"{""MELON"": 4}","{""COW"": 2, ""SHEEP"": 3}",0,2
14,0,14,0,16.0,6,6,1,"{""WHEAT"": 4, ""MELON"": 8}","{""SHEEP"": 2, ""COW"": 2}",0,1
14,0,14,1,17.0,4,4,1,"{""MELON"": 5, ""WHEAT"": 1}","{""COW"": 2, ""SHEEP"": 3}",0,2
15,0,15,0,16.0,6,6,1,"{""WHEAT"": 4, ""MELON"": 9}","{""SHEEP"": 2, ""COW"": 2}",0,1
15,0,15,1,7.0,4,4,1,"{""MELON"": 6, ""WHEAT"": 1}","{""COW"": 2, ""SHEEP"": 3}",0,2
16,0,16,0,16.0,6,6,1,"{""WHEAT"": 4, ""MELON"": 9}","{""SHEEP"": 2, ""COW"": 2}",0,1
16,0,16,1,25.0,4,4,1,"{""WHEAT"": 2, ""MELON"": 6}","{""COW"": 2, ""SHEEP"": 3}",0,1
17,0,17,0,16.0,6,6,1,"{""WHEAT"": 5, ""MELON"": 10}","{""SHEEP"": 2, ""COW"": 2}",0,1
17,0,17,1,43.0,4,4,1,"{""WHEAT"": 4, ""MELON"": 6}","{""COW"": 2, ""SHEEP"": 3}",0,0
18,0,18,0,16.0,6,6,1,"{""WHEAT"": 6, ""MELON"": 10}","{""SHEEP"": 2, ""COW"": 2}",0,1
18,0,18,1,33.0,4,4,1,"{""WHEAT"": 5, ""MELON"": 6}","{""COW"": 2, ""SHEEP"": 3}",0,0
19,0,19,0,16.0,6,6,1,"{""WHEAT"": 6, ""MELON"": 10}","{""SHEEP"": 2, ""COW"": 2}",0,1
19,0,19,1,23.0,4,4,1,"{""WHEAT"": 6, ""MELON"": 6}","{""COW"": 2, ""SHEEP"": 3}",0,0
20,0,20,0,16.0,6,6,1,"{""WHEAT"": 6, ""MELON"": 11}","{""SHEEP"": 2, ""COW"": 2}",0,1
20,0,20,1,13.0,4,4,1,"{""WHEAT"": 8, ""MELON"": 6}","{""COW"": 2, ""SHEEP"": 3}",0,0
21,0,21,0,16.0,6,6,1,"{""WHEAT"": 6, ""MELON"": 11}","{""SHEEP"": 2, ""COW"": 2}",0,1
21,0,21,1,3.0,4,4,1,"{""WHEAT"": 8, ""MELON"": 6}","{""COW"": 2, ""SHEEP"": 3}",0,0
22,0,22,0,16.0,6,6,1,"{""WHEAT"": 6, ""MELON"": 11}","{""SHEEP"": 2, ""COW"": 2}",0,1
22,0,22,1,3.0,4,4,1,"{""WHEAT"": 9, ""MELON"": 6}","{""COW"": 2, ""SHEEP"": 3}",0,0
23,0,23,0,16.0,6,6,1,"{""WHEAT"": 6, ""MELON"": 11}","{""SHEEP"": 2, ""COW"": 2}",0,1
23,0,23,1,3.0,4,4,1,"{""WHEAT"": 10, ""MELON"": 6}","{""COW"": 2, ""SHEEP"": 3}",0,0
24,1,0,0,16.0,0,0,1,"{""WHEAT"": 6, ""MELON"": 11}","{""SHEEP"": 2, ""COW"": 2}",0,1
24,1,0,1,3.0,0,0,1,"{""WHEAT"": 10, ""MELON"": 6}","{""COW"": 2, ""SHEEP"": 3}",1,0
25,1,1,0,4.0,5,5,1,"{""WHEAT"": 6, ""MELON"": 11}","{""SHEEP"": 2, ""COW"": 2}",0,1
25,1,1,1,1.0,2,2,1,"{""WHEAT"": 10, ""MELON"": 6}","{""COW"": 2, ""SHEEP"": 3}",1,0
26,1,2,0,4.0,5,5,1,"{""WHEAT"": 6, ""MELON"": 11}","{""SHEEP"": 2, ""COW"": 2}",0,1
26,1,2,1,1.0,2,2,1,"{""WHEAT"": 10, ""MELON"": 6}","{""COW"": 2, ""SHEEP"": 3}",1,1
27,1,3,0,4.0,5,5,1,"{""WHEAT"": 6, ""MELON"": 11}","{""SHEEP"": 2, ""COW"": 2}",0,0
27,1,3,1,42.0,3,3,1,"{""WHEAT"": 10, ""MELON"": 6}","{""COW"": 2, ""SHEEP"": 3}",1,2
28,1,4,0,4.0,5,5,1,"{""WHEAT"": 6, ""MELON"": 11}","{""SHEEP"": 2, ""COW"": 2}",0,1
28,1,4,1,42.0,3,3,1,"{""WHEAT"": 10, ""MELON"": 6}","{""COW"": 2, ""SHEEP"": 3}",1,2
29,1,5,0,104.0,5,5,1,"{""WHEAT"": 6, ""MELON"": 11}","{""SHEEP"": 2, ""COW"": 2}",0,0
29,1,5,1,42.0,3,3,1,"{""WHEAT"": 10, ""MELON"": 6}","{""COW"": 2, ""SHEEP"": 3}",1,2
30,1,6,0,17.0,5,5,1,"{""WHEAT"": 7, ""MELON"": 11}","{""SHEEP"": 2, ""COW"": 2}",0,3
30,1,6,1,42.0,3,3,1,"{""WHEAT"": 10, ""MELON"": 6}","{""COW"": 2, ""SHEEP"": 3}",1,3
31,1,7,0,17.0,5,5,1,"{""WHEAT"": 7, ""MELON"": 11}","{""SHEEP"": 2, ""COW"": 2}",0,3
31,1,7,1,84.0,3,3,1,"{""WHEAT"": 10, ""MELON"": 6}","{""COW"": 2, ""SHEEP"": 3}",1,3
32,1,8,0,7.0,5,5,1,"{""WHEAT"": 7, ""MELON"": 11}","{""SHEEP"": 2, ""COW"": 2}",0,0
32,1,8,1,183.0,3,3,1,"{""WHEAT"": 10, ""MELON"": 6}","{""COW"": 2, ""SHEEP"": 3}",1,1
33,1,9,0,7.0,5,5,1,"{""WHEAT"": 7, ""MELON"": 11}","{""SHEEP"": 2, ""COW"": 2}",0,0
33,1,9,1,282.0,3,3,1,"{""WHEAT"": 10, ""MELON"": 6}","{""COW"": 2, ""SHEEP"": 3}",1,1
34,1,10,0,7.0,5,5,1,"{""WHEAT"": 7, ""MELON"": 11}","{""SHEEP"": 2, ""COW"": 2}",0,1
34,1,10,1,221.0,3,3,1,"{""WHEAT"": 10, ""MELON"": 6}","{""COW"": 2, ""SHEEP"": 3}",1,0
35,1,11,0,106.0,5,5,1,"{""WHEAT"": 7, ""MELON"": 11}","{""SHEEP"": 2, ""COW"": 2}",0,0
35,1,11,1,221.0,3,3,1,"{""WHEAT"": 10, ""MELON"": 7}","{""COW"": 2, ""SHEEP"": 3}",1,0
36,1,12,0,18.0,5,5,1,"{""WHEAT"": 7, ""MELON"": 11}","{""SHEEP"": 2, ""COW"": 2}",0,3
36,1,12,1,61.0,3,3,1,"{""WHEAT"": 10, ""MELON"": 7}","{""COW"": 2, ""SHEEP"": 3}",1,0
37,1,13,0,18.0,5,5,1,"{""WHEAT"": 7, ""MELON"": 12}","{""SHEEP"": 2, ""COW"": 2}",0,3
37,1,13,1,61.0,3,3,1,"{""WHEAT"": 10, ""MELON"": 7}","{""COW"": 2, ""SHEEP"": 3}",1,0
38,1,14,0,18.0,5,5,1,"{""WHEAT"": 7, ""MELON"": 12}","{""SHEEP"": 2, ""COW"": 2}",0,0
38,1,14,1,61.0,3,3,1,"{""WHEAT"": 10, ""MELON"": 8}","{""COW"": 2, ""SHEEP"": 3}",1,0
39,1,15,0,18.0,5,5,1,"{""WHEAT"": 7, ""MELON"": 12}","{""SHEEP"": 2, ""COW"": 2}",0,0
39,1,15,1,61.0,3,3,1,"{""WHEAT"": 10, ""MELON"": 8}","{""COW"": 2, ""SHEEP"": 3}",1,0
40,1,16,0,18.0,5,5,1,"{""WHEAT"": 7, ""MELON"": 12}","{""SHEEP"": 2, ""COW"": 2}",0,0
40,1,16,1,61.0,3,3,1,"{""WHEAT"": 10, ""MELON"": 8}","{""COW"": 2, ""SHEEP"": 3}",1,0
41,1,17,0,18.0,5,5,1,"{""WHEAT"": 7, ""MELON"": 12}","{""SHEEP"": 2, ""COW"": 2}",0,0
41,1,17,1,61.0,3,3,1,"{""WHEAT"": 10, ""MELON"": 9}","{""COW"": 2, ""SHEEP"": 3}",1,0
42,1,18,0,18.0,5,5,1,"{""WHEAT"": 7, ""MELON"": 12}","{""SHEEP"": 2, ""COW"": 2}",0,0
42,1,18,1,61.0,3,3,1,"{""WHEAT"": 10, ""MELON"": 9}","{""COW"": 2, ""SHEEP"": 3}",1,0
43,1,19,0,18.0,5,5,1,"{""WHEAT"": 7, ""MELON"": 12}","{""SHEEP"": 2, ""COW"": 2}",0,0
43,1,19,1,61.0,3,3,1,"{""WHEAT"": 10, ""MELON"": 9}","{""COW"": 2, ""SHEEP"": 3}",1,0
44,1,20,0,18.0,5,5,1,"{""WHEAT"": 7, ""MELON"": 12}","{""SHEEP"": 2, ""COW"": 2}",0,0
44,1,20,1,61.0,3,3,1,"{""WHEAT"": 10, ""MELON"": 9}","{""COW"": 2, ""SHEEP"": 3}",0,0
45,1,21,0,18.0,5,5,1,"{""WHEAT"": 7, ""MELON"": 12}","{""SHEEP"": 2, ""COW"": 2}",0,0
45,1,21,1,61.0,3,3,1,"{""WHEAT"": 10, ""MELON"": 10}","{""COW"": 2, ""SHEEP"": 3}",0,0
46,1,22,0,18.0,5,5,1,"{""WHEAT"": 7, ""MELON"": 12}","{""SHEEP"": 2, ""COW"": 2}",0,0
46,1,22,1,61.0,3,3,1,"{""WHEAT"": 10, ""MELON"": 10}","{""COW"": 2, ""SHEEP"": 3}",0,0
47,1,23,0,18.0,5,5,1,"{""WHEAT"": 8, ""MELON"": 12}","{""SHEEP"": 2, ""COW"": 2}",0,0
47,1,23,1,61.0,3,3,1,"{""WHEAT"": 10, ""MELON"": 10}","{""COW"": 2, ""SHEEP"": 3}",0,0
48,2,0,0,18.0,0,0,1,"{""WHEAT"": 8, ""MELON"": 12}","{""SHEEP"": 2, ""COW"": 2}",0,5
48,2,0,1,61.0,0,0,1,"{""WHEAT"": 10, ""MELON"": 10}","{""COW"": 2, ""SHEEP"": 3}",0,0
49,2,1,0,208.0,4,4,1,"{""WHEAT"": 8, ""MELON"": 12}","{""SHEEP"": 2, ""COW"": 2}",0,3
49,2,1,1,11.0,6,6,1,"{""WHEAT"": 10, ""MELON"": 10}","{""COW"": 2, ""SHEEP"": 3}",0,1
50,2,2,0,135.0,6,6,1,"{""WHEAT"": 8, ""MELON"": 12}","{""SHEEP"": 2, ""COW"": 2}",0,2
50,2,2,1,11.0,6,6,1,"{""WHEAT"": 10, ""MELON"": 10}","{""COW"": 2, ""SHEEP"": 3}",0,1
51,2,3,0,15.0,6,6,1,"{""WHEAT"": 8, ""MELON"": 12}","{""SHEEP"": 2, ""COW"": 2}",0,4
51,2,3,1,109.0,6,6,1,"{""WHEAT"": 10, ""MELON"": 10}","{""COW"": 2, ""SHEEP"": 3}",0,0
